2401409	POL/URB DEV POLI  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL1 	108  	PPW                          	                    	                    	                    	20 	16/01/2559 20:00
2401419	MONARCH MOD TH POL	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1500	POL2 	106  	CCP,SPP                      	                    	                    	                    	45 	16/01/2559 20:00
2401419	MONARCH MOD TH POL	3  	                                                                                	          	         	          	TDF      	1  	DISC 	WE	  	  	  	  	  	  	1500-1600	POL2 	106  	CCP,SPP                      	                    	                    	                    	45 	16/01/2559 20:00
2401456	GOV/POL JP        	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1400	POL1 	102  	VNP                          	                    	                    	                    	20 	16/01/2559 20:00
2401456	GOV/POL JP        	3  	                                                                                	          	         	          	TDF      	1  	DISC 	TH	  	  	  	  	  	  	1400-1600	POL1 	102  	VNP                          	                    	                    	                    	20 	16/01/2559 20:00
2401482	SEM POL SOC CHANGE	3  	2401216/2401218                                                                 	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1000	POL1 	102  	PPT                          	                    	                    	                    	10 	16/01/2559 20:00
2401482	SEM POL SOC CHANGE	3  	2401216/2401218                                                                 	          	         	          	TDF      	1  	DISC 	WE	  	  	  	  	  	  	1000-1200	POL1 	102  	PPT                          	                    	                    	                    	10 	16/01/2559 20:00
2401483	SEM THAI POL PROB 	3  	2401217/C.F.                                                                    	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	0900-1000	POL1 	108  	PPW                          	                    	                    	                    	20 	16/01/2559 20:00
2401483	SEM THAI POL PROB 	3  	2401217/C.F.                                                                    	          	         	          	TDF      	1  	DISC 	FR	  	  	  	  	  	  	1000-1200	POL1 	108  	PPW                          	                    	                    	                    	20 	16/01/2559 20:00
2401491	INDIVIDUAL STUDIES	2  	                                                                                	          	         	          	TDF      	1  	LECT 	IA	  	  	  	  	  	  	IA-IA    	POL1 	IA   	STAFF                        	4TH YEAR ONLY       	INSTRUCTOR CONSENT  	                    	5  	16/01/2559 20:00
2401492	PHILOS POL ANTHROP	3  	2400201,2401300,2401301                                                         	          	         	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	POL1 	101  	CDT                          	                    	                    	                    	20 	16/01/2559 20:00
2401604	INT GR/SOC MVT    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1800-2100	POL2 	107  	PPT                          	M.A.P.G.            	                    	                    	50 	16/01/2559 20:00
2401605	STATE/DEV GLOB    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	SA	  	  	  	  	  	  	0900-1100	POL2 	107  	ATN                          	M.A.P.G.            	                    	                    	50 	16/01/2559 20:00
2401605	STATE/DEV GLOB    	3  	                                                                                	          	         	          	TDF      	1  	DISC 	SA	  	  	  	  	  	  	1100-1200	POL2 	107  	ATN                          	                    	                    	                    	50 	16/01/2559 20:00
2401607	POL PTY/ELEC BEHAV	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1800-2000	POL2 	107  	SNS                          	M.A.P.G.            	                    	                    	80 	16/01/2559 20:00
2401607	POL PTY/ELEC BEHAV	3  	                                                                                	          	         	          	TDF      	1  	DISC 	TH	  	  	  	  	  	  	2000-2100	POL2 	107  	SNS                          	                    	                    	                    	80 	16/01/2559 20:00
2401615	ETH POL PHIL      	3  	                                                                                	          	         	17/05/2559	0830-1130	1  	LECT 	MO	  	  	  	  	  	  	1000-1300	POL1 	107  	CDT                          	                    	                    	                    	11 	16/01/2559 20:00
2401626	POL/PUB POLI      	3  	                                                                                	          	         	11/05/2559	1300-1600	1  	IDPS 	WE	  	  	  	  	  	  	1300-1600	POL3 	516  	PSP                          	                    	                    	                    	20 	16/01/2559 20:00
2401628	RES MET POL SCI   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL1 	101  	TLS                          	                    	                    	                    	20 	16/01/2559 20:00
2401630	APP ISS COM POL   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL2 	106  	STAFF                        	PH.D.PROGRAM        	                    	                    	15 	16/01/2559 20:00
2401632	GEN POL           	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	POL2 	106  	CCP                          	                    	                    	                    	10 	16/01/2559 20:00
2401634	SEM SEL POLI ISS  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	0900-1200	POL1 	205.A	ALN                          	                    	                    	                    	10 	16/01/2559 20:00
2401635	POL/ECON POLI     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	0900-1200	POL1 	205.A	ALN                          	                    	                    	                    	10 	16/01/2559 20:00
2401702	RESEARCH PAPER    	6  	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	POL2 	108  	STAFF                        	M.A.P.G.            	                    	                    	80 	16/01/2559 20:00
2401704	RES METH POL SCI  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	SA	  	  	  	  	  	  	1300-1500	POL1 	107  	STAFF                        	M.A.P.G             	                    	                    	50 	16/01/2559 20:00
2401704	RES METH POL SCI  	3  	                                                                                	          	         	          	TDF      	1  	DISC 	SA	  	  	  	  	  	  	1500-1600	POL2 	107  	STAFF                        	                    	                    	                    	50 	16/01/2559 20:00
2401715	SEM DEM/DEV THAI  	3  	                                                                                	          	         	          	TDF      	1  	SMNA 	TH	  	  	  	  	  	  	1300-1600	POL1 	101  	NTP                          	PH.D.PROGRAM        	                    	                    	10 	16/01/2559 20:00
2401718	SEM SE TO THAI POL	3  	                                                                                	          	         	          	TDF      	1  	SMNA 	MO	  	  	  	  	  	  	0900-1200	POL1 	108  	ATN                          	PH.D.PROGRAM        	                    	                    	10 	16/01/2559 20:00
2401719	SEL TOP COM POL   	3  	                                                                                	          	         	          	TDF      	1  	SMNA 	TH	  	  	  	  	  	  	0900-1200	POL1 	108  	ALN                          	PH.D.PROGRAM        	                    	                    	10 	16/01/2559 20:00
2401726	SEM TH SOC POL THO	3  	                                                                                	          	         	          	TDF      	1  	SMNA 	FR	  	  	  	  	  	  	0900-1200	POL1 	205.A	SWN                          	PH.D.PROGRAM        	                    	                    	10 	16/01/2559 20:00
2401811	THESIS            	12 	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA00  	POL2 	IA   	STAFF                        	                    	                    	                    	60 	16/01/2559 20:00
2401827	DISSERTATION      	42 	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	POL1 	IA   	STAFF                        	PH.D.PROGRAM        	                    	                    	35 	16/01/2559 20:00
2401828	DISSERTATION      	48 	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA00  	POL1 	IA   	STAFF                        	PH.D. PROGRAM       	                    	                    	20 	16/01/2559 20:00
2401896	COMPREHENSIVE EXAM	0  	                                                                                	          	         	          	TDF      	1  	LECT 	IA	  	  	  	  	  	  	IA-IA    	POL2 	IA   	STAFF                        	                    	                    	                    	60 	16/01/2559 20:00
2401897	QUALIFYING EXAM   	0  	                                                                                	          	         	          	TDF      	1  	LECT 	IA	  	  	  	  	  	  	IA-IA    	POL1 	IA   	STAFF                        	PH.D. PROGRAM       	                    	                    	15 	16/01/2559 20:00
2402308	DEV INTL SYS      	3  	                                                                                	04/03/2559	1300-1500	16/05/2559	1300-1500	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL3 	509  	SHK                          	IR ONLY             	                    	                    	75 	16/01/2559 20:00
2402308	DEV INTL SYS      	3  	                                                                                	04/03/2559	1300-1500	16/05/2559	1300-1500	2  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL3 	509  	SHK                          	MINOR               	                    	                    	25 	16/01/2559 20:00
2402309	POL THEO/IR       	3  	                                                                                	          	         	11/05/2559	1300-1500	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL3 	515  	VSB                          	                    	                    	                    	40 	16/01/2559 20:00
2402310	WRLD POL ECON     	3  	                                                                                	01/03/2559	0830-1030	13/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	0900-1200	POL1 	202  	TPR                          	                    	                    	                    	70 	16/01/2559 20:00
2402310	WRLD POL ECON     	3  	                                                                                	01/03/2559	0830-1030	13/05/2559	0830-1130	2  	LECT 	TU	  	  	  	  	  	  	0900-1200	POL1 	202  	TPR                          	EDU                 	                    	                    	10 	16/01/2559 20:00
2402312	READ IR II        	2  	                                                                                	          	         	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	1000-1200	POL3 	613  	SJN                          	                    	                    	                    	35 	16/01/2559 20:00
2402312	READ IR II        	2  	                                                                                	          	         	          	TDF      	2  	LECT 	MO	  	  	  	  	  	  	1000-1200	POL3 	616  	KCY                          	                    	                    	                    	35 	16/01/2559 20:00
2402314	READ IR IV        	2  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1000-1200	POL2 	106  	TPR                          	                    	                    	                    	35 	16/01/2559 20:00
2402314	READ IR IV        	2  	                                                                                	          	         	          	TDF      	2  	LECT 	MO	  	  	  	  	  	  	1000-1200	POL3 	614  	SHK                          	                    	                    	                    	35 	16/01/2559 20:00
2402318	COMP POL FGN POLI 	3  	                                                                                	01/03/2559	1300-1500	11/05/2559	1300-1600	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL3 	514  	CPS                          	                    	                    	                    	33 	16/01/2559 20:00
2402339	SE ASIA MOD WRLD  	3  	                                                                                	          	         	12/05/2559	1300-1600	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL1 	101  	KCS                          	                    	                    	                    	30 	16/01/2559 20:00
2402340	E ASIA MOD WRLD   	3  	                                                                                	          	         	12/05/2559	1300-1500	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL3 	515  	VMB                          	                    	                    	                    	30 	16/01/2559 20:00
2402341	ASEAN WRLD POL    	3  	                                                                                	          	         	16/05/2559	1300-1500	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL3 	513  	PTR                          	                    	                    	                    	30 	16/01/2559 20:00
2402348	CHIN FGN POLI     	3  	                                                                                	04/03/2559	1300-1500	16/05/2559	1300-1500	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL3 	614  	VMB                          	                    	                    	                    	40 	16/01/2559 20:00
2402351	FGN POLI EUR      	3  	                                                                                	03/03/2559	1300-1500	04/05/2559	1300-1600	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL1 	103.A	NKM                          	                    	                    	                    	50 	16/01/2559 20:00
2402357	GLOBAL POL FILM   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	0900-1200	POL1 	202  	SJN                          	                    	                    	                    	40 	16/01/2559 20:00
2402481	SEM TH FGN REL    	3  	                                                                                	          	         	13/05/2559	1300-1600	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	POL3 	503  	PWG                          	                    	                    	                    	10 	16/01/2559 20:00
2402483	SEM REL E ASIA    	3  	                                                                                	          	         	04/05/2559	0830-1030	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	POL1 	108  	TSK                          	                    	                    	                    	15 	16/01/2559 20:00
2402484	SEM FGN REL US    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL3 	513  	PTR                          	                    	                    	                    	15 	16/01/2559 20:00
2402486	SEM REL MIDEAST   	3  	                                                                                	29/02/2559	1300-1500	17/05/2559	1300-1600	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	POL3 	614  	CPS                          	                    	                    	                    	15 	16/01/2559 20:00
2402488	SEM ISSUES WRLD PO	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	0900-1200	POL3 	516  	KCY                          	                    	                    	                    	15 	16/01/2559 20:00
2402489	SEM IR THEO/PRAC  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	0900-1200	POL1 	101  	SPP                          	                    	                    	                    	15 	16/01/2559 20:00
