2940203	MICROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	03/05/2559	0830-1130	1  	TUT  	FR	  	  	  	  	  	  	1000-1200	MAHIT	609  	FJM                          	                    	                    	                    	35 	16/01/2559 20:00
2940203	MICROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	03/05/2559	0830-1130	2  	LECT 	MO	  	  	  	  	  	  	1000-1130	MAHIT	610  	KTC                          	                    	                    	                    	35 	16/01/2559 20:00
2940203	MICROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	03/05/2559	0830-1130	2  	TUT  	FR	  	  	  	  	  	  	1000-1200	MAHIT	610  	KTC                          	                    	                    	                    	35 	16/01/2559 20:00
2940203	MICROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	03/05/2559	0830-1130	3  	LECT 	MO	  	  	  	  	  	  	0900-1030	MAHIT	709  	RHW                          	                    	                    	                    	35 	16/01/2559 20:00
2940203	MICROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	03/05/2559	0830-1130	3  	TUT  	FR	  	  	  	  	  	  	1000-1200	MAHIT	709  	RHW                          	                    	                    	                    	35 	16/01/2559 20:00
2940203	MICROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	03/05/2559	0830-1130	4  	LECT 	MO	  	  	  	  	  	  	1000-1130	MAHIT	710  	NWP                          	                    	                    	                    	35 	16/01/2559 20:00
2940203	MICROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	03/05/2559	0830-1130	4  	TUT  	FR	  	  	  	  	  	  	1000-1200	MAHIT	710  	NWP                          	                    	                    	                    	35 	16/01/2559 20:00
2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	0830-1000	ECON 	412  	PTG                          	                    	                    	                    	35 	16/01/2559 20:00
2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	1  	TUT  	FR	  	  	  	  	  	  	1300-1500	ECON 	412  	PTG                          	                    	                    	                    	35 	16/01/2559 20:00
2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	2  	LECT 	TU	  	  	  	  	  	  	0830-1000	MAHIT	709  	VKK                          	                    	                    	                    	35 	16/01/2559 20:00
2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	2  	TUT  	FR	  	  	  	  	  	  	1300-1500	MAHIT	709  	VKK                          	                    	                    	                    	35 	16/01/2559 20:00
2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	3  	LECT 	TU	  	  	  	  	  	  	0830-1000	MAHIT	711  	PSC                          	                    	                    	                    	35 	16/01/2559 20:00
