3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,STAFF                        ,MALE                ,                    ,                    ,35 ,16/01/2559 20:00
3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,STAFF                        ,FEMALE              ,                    ,                    ,35 ,16/01/2559 20:00
3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,UKN                          ,MALE                ,                    ,                    ,35 ,16/01/2559 20:00
3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,UKN                          ,FEMALE              ,                    ,                    ,35 ,16/01/2559 20:00
3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,CUP8 ,2204 ,TGC                          ,MALE                ,                    ,                    ,35 ,16/01/2559 20:00
3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,CUP8 ,2204 ,TGC                          ,FEMALE              ,                    ,                    ,35 ,16/01/2559 20:00
3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,7  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,TGC                          ,MALE                ,                    ,                    ,35 ,16/01/2559 20:00
3900116,SP ACT-RHYTHM     ,1  ,                                                                                ,          ,         ,          ,TDF      ,8  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,TGC                          ,FEMALE              ,                    ,                    ,35 ,16/01/2559 20:00
3900120,SP ACT-SWIMMING   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1000-1200,CUSCS,SWIM ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
3900120,SP ACT-SWIMMING   ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1500,CUSCS,SWIM ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
3900120,SP ACT-SWIMMING   ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1000-1200,CUSCS,SWIM ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
3900120,SP ACT-SWIMMING   ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1500,CUSCS,SWIM ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
3900125,SP ACT-TENNIS     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,0800-1000,CUSCT,TENNI,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
3900125,SP ACT-TENNIS     ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,0800-1000,CUSCT,TENNI,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
3900125,SP ACT-TENNIS     ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,0800-1000,CUSCT,TENNI,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
3900127,SP ACT SOC DANCE  ,1  ,2705114 3900116                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1500-1700,CUP8 ,2204 ,UKN                          ,                    ,                    ,                    ,35 ,16/01/2559 20:00,16/01/2559 20:00
3900127,SP ACT SOC DANCE  ,1  ,2705114 3900116                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1500-1700,CUP8 ,2204 ,UKN                          ,                    ,                    ,                    ,35 ,16/01/2559 20:00,16/01/2559 20:00
3900128,SP ACT-THAI DANCE ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,0800-1000,CUP8 ,2204 ,OKN                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900129,SP ACT-TAEKWONDO  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1500,CUSC ,CUSC ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
