2800410,CONTEM PUB REL    ,3  ,                                                                                ,03/03/2559,1300-1600,03/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,PINIT,1006 ,TTP                          ,                    ,                    ,                    ,80 ,16/01/2559 20:00
2800410,CONTEM PUB REL    ,3  ,                                                                                ,03/03/2559,1300-1600,03/05/2559,1300-1600,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,PINIT,1209 ,TTP                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2800411,AD MOD WORLD      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PINIT,1006 ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
2800413,MOVIE WORLD       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PINIT,1007 ,SJP,RCP                      ,                    ,                    ,                    ,89 ,16/01/2559 20:00
2800520,THEO INFO MED     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,M06  ,PRS                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800521,SEM NEWS/INFO ANAL,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,0900-1200,CART1,AR   ,PNW                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800527,SEL TOP JR/INFO I ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,M05  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800529,LEG/ETH ISS COMM  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1800-2100,MKSW ,M05  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800547,SEM SOUND/MUS DSGN,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,SA,  ,  ,  ,  ,  ,  ,0800-1000,MKSW ,312  ,SPK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800547,SEM SOUND/MUS DSGN,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,SMNA ,SA,  ,  ,  ,  ,  ,  ,1000-1200,MKSW ,312  ,SPK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
