2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,10 ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM8 ,IA   ,STAFF                        ,MBA-EXEC            ,                    ,                    ,60 ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,20 ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM8 ,IA   ,STAFF                        ,MBA-AVIATION        ,                    ,                    ,35 ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,21 ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM8 ,IA   ,STAFF                        ,MBA-ENGLISH         ,                    ,                    ,60 ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,22 ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM8 ,IA   ,STAFF                        ,MBA-HOSPITAL        ,                    ,                    ,10 ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,25 ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM1 ,IA   ,STAFF                        ,MS MARKETING        ,                    ,                    ,90 ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,30 ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM1 ,IA   ,STAFF                        ,MS CG               ,                    ,                    ,2  ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM8 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM8 ,IA   ,STAFF                        ,IT EXEC             ,                    ,                    ,10 ,16/01/2559 20:00
2600896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,8  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,COM1 ,IA   ,STAFF                        ,MBA-YOUNG EXEC      ,                    ,                    ,130,16/01/2559 20:00
2600897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,MANAGEMENT ONLY     ,                    ,                    ,15 ,16/01/2559 20:00
