5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,109,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MAHIT,704  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,11 ,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,ENG3 ,206  ,STAFF                        ,ENGINEERING         ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,11 ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ENG3 ,206  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,110,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,O.P.R,308/9,STAFF                        ,MEDICINE            ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,110,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,308/9,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,111,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,O.P.R,20316,STAFF                        ,MEDICINE            ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,111,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,20316,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,112,L/P  ,TU,  ,  ,  ,  ,  ,  ,800-1100 ,O.P.R,20317,STAFF                        ,MEDICINE            ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,112,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,20317,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,113,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,O.P.R,20315,STAFF                        ,MEDICINE            ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,113,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,20315,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,114,L/P  ,TU,  ,  ,  ,  ,  ,  ,800-1100 ,O.P.R,30810,STAFF                        ,MEDICINE            ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,114,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,30810,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
