2301101,CALCULUS I        ,4  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1200-1300,MHMK ,203  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2301101,CALCULUS I        ,4  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1100-1230,TAB  ,231  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2301102,CALCULUS II       ,4  ,2301101                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1100-1200,MAHIT,305  ,STAFF                        ,STATISTICS          ,                    ,                    ,100,16/01/2559 20:00
2301102,CALCULUS II       ,4  ,2301101                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1100-1230,MAHIT,305  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
2301102,CALCULUS II       ,4  ,2301101                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1100-1200,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
2301102,CALCULUS II       ,4  ,2301101                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-0900,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
2301102,CALCULUS II       ,4  ,2301101                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1000,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
2301103,CALCULUS I        ,3  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,MHMK ,202  ,STAFF                        ,MED-TECH            ,                    ,                    ,150,16/01/2559 20:00
2301103,CALCULUS I        ,3  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-0900,MHMK ,M02  ,STAFF                        ,                    ,                    ,                    ,150,16/01/2559 20:00
2301103,CALCULUS I        ,3  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1000,MHMK ,208  ,STAFF                        ,MED-TECH            ,                    ,                    ,120,16/01/2559 20:00
