2501155,ARCH REPRN II     ,3  ,2501154                                                                         ,          ,         ,          ,TDF      ,5  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,NART ,219  ,TDS                          ,AR,TA,IA,LA         ,                    ,                    ,45 ,16/01/2559 20:00
2501155,ARCH REPRN II     ,3  ,2501154                                                                         ,          ,         ,          ,TDF      ,5  ,STU  ,MO,  ,  ,  ,  ,  ,  ,1400-1800,NART ,504  ,TDS                          ,                    ,                    ,                    ,45 ,16/01/2559 20:00
2501173,STRUC MECH ARCH   ,3  ,                                                                                ,03/03/2559,0900-1200,04/05/2559,0900-1200,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,NART ,219  ,CID,SSP,WWV                  ,AR,IA,TA            ,                    ,                    ,180,16/01/2559 20:00
2501191,HIST ART ARCH     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,ARCH1,312  ,CSW,PSU                      ,GENED-HU            ,                    ,                    ,40 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,1  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,CCS,ACS                      ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,10 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,WWP                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,11 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,WIN                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,12 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,TSK                          ,AR,IA               ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,13 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,AR,IA               ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,2  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,PMR                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,3  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,SCV                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,4  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,SVR                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,5  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,PST                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,6  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,PRY                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,7  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,CNC                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,8  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501218,ARCH DSGN III     ,4  ,2501216                                                                         ,          ,         ,          ,TDF      ,9  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,PTP                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,ASP,TSK,SVR                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,1  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,10 ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,STAFF,SHW,JSN                ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,10 ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,11 ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,STAFF,SHW,JSN                ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,11 ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,KPM                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,12 ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,SHW,JSN,STAFF                ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,12 ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,13 ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,SHW,JSN,STAFF                ,TA                  ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,13 ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,SHW,JSN                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,TSK,SVR,ASP                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,2  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,PST                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,ASP,TSK,SVR                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,3  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,4  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,ASP,TSK,SVR                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,4  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,5  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,ASP,TSK,SVR                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,5  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,TSK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,6  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,ASP,TSK,SVR                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,6  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,SVR                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,7  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,STAFF,SHW,JSN                ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,7  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,8  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,STAFF,SHW,JSN                ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,8  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,SSP                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,9  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,NART ,219  ,STAFF,SHW,JSN                ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501231,BLDG TECH/CONS I  ,4  ,2501131                                                                         ,03/03/2559,1300-1600,10/05/2559,0900-1200,9  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,NART ,604  ,MSC                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501244,THAI ARCH DSGN II ,4  ,2501243                                                                         ,          ,         ,          ,TDF      ,1  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,320  ,SHW,JSN                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
