2200828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,MCS  ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,MCS  ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201152,THAI LIT          ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1100,BRK  ,302  ,HAS                          ,                    ,                    ,                    ,78 ,16/01/2559 20:00
2201152,THAI LIT          ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1100,BRK  ,503  ,ASR                          ,                    ,                    ,                    ,78 ,16/01/2559 20:00
2201152,THAI LIT          ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1100,BRK  ,402  ,NPD                          ,                    ,                    ,                    ,78 ,16/01/2559 20:00
2201152,THAI LIT          ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,4  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1100,BRK  ,403  ,TJT                          ,                    ,                    ,                    ,79 ,16/01/2559 20:00
2201215,SPEECH PLAY TH    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,501/5,SPS                          ,                    ,                    ,                    ,35 ,16/01/2559 20:00
2201252,SURV THAI LIT WRKS,3  ,                                                                                ,          ,         ,04/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1230,MCS  ,60113,HAS                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2201275,SUNTHON PHU       ,3  ,                                                                                ,          ,         ,02/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-1100,BRK  ,304  ,CRK                          ,                    ,                    ,                    ,36 ,16/01/2559 20:00
2201301,THAI SEMANTICS    ,3  ,                                                                                ,          ,         ,02/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,513  ,TCV                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201301,THAI SEMANTICS    ,3  ,                                                                                ,          ,         ,02/05/2559,0830-1130,1  ,DISC ,MO,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,513  ,TCV                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201326,CAMBO THAI        ,3  ,                                                                                ,          ,         ,13/05/2559,0830-1130,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0930-1230,MCS  ,60113,DWR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,503  ,DWR                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,1  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,503  ,DWR                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,10 ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,514  ,SWS                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,10 ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,514  ,SWS                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,504  ,STAFF                        ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,2  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,504  ,STAFF                        ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,3  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,507  ,STAFF                        ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,3  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,507  ,STAFF                        ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,4  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,508  ,MSS                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,4  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,508  ,MSS                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
